tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
Armed police lead people away near the store where hostages have been taken. #ParisAttacks http://t.co/qxlwCWdaVB http://t.co/bnhb1DcAbj,0.400,0.000,0.600,0.53106,0.8238,-0.8042,0.4019,0.0576519864,0.109,0.743,0.148,5,non-rumours
"Prediction: the survivors of Charlie Hebdo put out a new issue, the cover of which big Western media will find too offensive to reprint.",0.105,0.579,0.316,0.2243526315789474,0.743,-0.7845,0.0,0.08944518986149583,0.068,0.829,0.103,19,non-rumours
A reliable source has confirmed to the BBC that Cherif and Said Kouachi were on the UK Warnings Index “and had been for some time.”,0.273,0.636,0.091,0.16737272727272726,0.5106,-0.4497,0.0,0.04933607652892564,0.061,0.912,0.028,11,non-rumours
"Snipers, helicopters turn French town Dammartin-en-Goele into warzone. Photo: Dominique Faget #AFP http://t.co/PnQiPlSWN0",0.467,0.200,0.333,0.40494666666666673,0.836,-0.8832,0.4215,0.0840594824888889,0.193,0.709,0.097,15,non-rumours
Prince Harry signs a book of condolence at the French Embassy in London after the attacks in #Paris http://t.co/W0ZWcOQLgi,0.471,0.353,0.176,0.2836117647058824,0.8544,-0.4404,0.296,0.0662651586851211,0.191,0.755,0.054,17,non-rumours
Join us in hating horrible crimes and racist cartoons at the same time http://t.co/JHJlB2950h #CitizenRadio #CharlieHebdo,0.714,0.143,0.143,0.5407142857142857,0.8508,-0.8271,0.5994,0.07528174408163267,0.295,0.562,0.142,7,non-rumours
"Saudi Arabian condemnation of Paris terror attacks are hollow as they whip a blogger for ""insulting Islam"". The mentality is the same",0.542,0.250,0.208,0.3504791666666667,0.739,-0.7297,0.3397,0.06710172831597223,0.192,0.745,0.063,24,non-rumours
For the 1st time since World War II there’ll be no Friday service in the Paris Grand Synagogue. At loss of words. #JeSuisJuif #JeSuisCharlie,0.381,0.143,0.476,0.43241904761904754,0.7845,-0.9042,0.4767,0.07491296916099772,0.172,0.680,0.149,21,non-rumours
#CharlieHebdo suspects were on British terror watch list for years http://t.co/LbKmHMVDoV http://t.co/KDWpLXG9MI,0.227,0.318,0.455,0.31143181818181814,0.6193,-0.7734,0.29969999999999997,0.06649172216942148,0.101,0.766,0.133,22,non-rumours
Hezbollah chief: Extremists harm Islam more than cartoons http://t.co/PBs3sMwhLt #CharlieHebdo,0.167,0.167,0.667,0.4219833333333334,0.5719,-0.9011,0.4395,0.06702524805555556,0.092,0.740,0.168,18,non-rumours
Police marksmen take up position at scene of hostage situation: http://t.co/4ZB2A3eKb1 #CharlieHebdo http://t.co/e9tE2iZdGR,0.211,0.263,0.526,0.39735263157894735,0.743,-0.8622,0.4898,0.07650453301939059,0.133,0.707,0.160,19,non-rumours
Watch: Hacker group says it will avenge #CharlieHebdo attack by shutting down jihadi websites http://t.co/fPhdD3W0xS http://t.co/nvMO0r45SI,0.426,0.191,0.383,0.3776617021276595,0.8728,-0.8689,0.4019,0.06808979725667726,0.121,0.775,0.104,47,non-rumours
"Mad respect for this girl in the ruins of Aleppo, Syria holding up a #JeSuisCharlie sign. http://t.co/5fJKZBrnHK",0.480,0.280,0.240,0.377736,0.9022,-0.8176,0.4404,0.08734855350399999,0.253,0.670,0.076,25,non-rumours
#RespectForMuslims Western #media will never highlight these #Muslims. Plz RT #CharlieHebdo #France #Paris http://t.co/uuFZFawDW4,0.500,0.333,0.167,0.43888333333333346,0.8475,-0.7906,0.59265,0.10439458972222222,0.201,0.739,0.060,12,non-rumours
What we know so far about the #CharlieHebdo attack and the double hostage-takings in France http://t.co/LBvRssNtSm http://t.co/ElujGekOkC,0.143,0.571,0.286,0.19725714285714285,0.3182,-0.8847,0.0,0.09188872530612248,0.052,0.862,0.086,7,non-rumours
#Anonymous says it will avenge #CharlieHebdo attack by shutting down jihadi websites http://t.co/Hrvbt04eKT http://t.co/Lsx5n9Ywv0,0.500,0.250,0.250,0.4207166666666667,0.7783,-0.6486,0.48355,0.07831592138888889,0.286,0.626,0.088,12,non-rumours
Muslims are not terrorists #prisedotage #Dammartin #ContreLesTerroristes #AtentadoParisEP #JeSuisCharlieARV http://t.co/8LBo8XCKQU,0.500,0.000,0.500,0.66455,0.8887,-0.4404,0.66455,0.050243222500000004,0.199,0.591,0.210,2,non-rumours
Watch: Hacker group says it will avenge #CharlieHebdo attack by shutting down jihadi websites http://t.co/NaZEhoNAs7 http://t.co/1JuNmJlzrj,0.350,0.150,0.500,0.456245,0.5696,-0.872,0.48325,0.07203051647500001,0.104,0.679,0.217,20,non-rumours
These cartoons are poignant tributes to victims of the Charlie Hebdo attack http://t.co/WrJDKBeYXI http://t.co/iVs8lDncV3,0.647,0.235,0.118,0.3529058823529412,0.7156,-0.8658,0.3384,0.06527357467128028,0.277,0.666,0.058,17,non-rumours
"""Female Islamist terrorist"" attacks Paris Jewish store. As a woman, she has equal rights only when it comes to murdering nonbelievers.",0.667,0.167,0.167,0.44615000000000005,0.6767,-0.8458,0.50065,0.08720752916666664,0.181,0.706,0.114,6,non-rumours
"#Poroshenko, mourning #CharlieHebdo victims while 1000s killed in #Donbass by #Ukraine forces.
#JeSuisWarCriminal http://t.co/H3lMztxIrW",0.222,0.222,0.556,0.4331833333333333,0.946,-0.8718,0.40390000000000004,0.09713634138888888,0.113,0.693,0.194,18,non-rumours
We should never be ashamed to be Muslim but we should publicly condemn the savages who tarnish our name ##ParisShooting #CharlieHebdo,0.500,0.000,0.500,0.47605,0.2924,-0.6597,0.47605,0.03372732249999999,0.098,0.808,0.094,2,non-rumours
While the West fought foreign wars we ignored the threat from within our own societies says UKIP Leader @Nigel_Farage http://t.co/cJ8lyelD5U,0.059,0.235,0.706,0.5334176470588236,0.6607,-0.9697,0.6607,0.10556178615916957,0.073,0.644,0.283,17,non-rumours
Gunfire and explosions at printworks where #CharlieHebdo suspects are holed up. http://t.co/ATmBpjwW3b http://t.co/xjzsLbZD0s,0.000,0.143,0.857,0.336,0.0258,-0.4939,0.34,0.019512934285714288,0.052,0.702,0.246,7,non-rumours
We are hearing gunfire at the siege at the printing building at Dammartin. 2 ambulances raced past.,0.273,0.455,0.273,0.3657727272727273,0.7149,-0.817,0.4767,0.11913365107438016,0.120,0.759,0.121,11,non-rumours
BREAKING: Gunshots and several explosions heard at Dammartin-en-Goele site in France: Reuters reporter,0.000,0.750,0.250,0.116975,0.0,-0.7579,0.0,0.06207445187499997,0.042,0.882,0.076,8,non-rumours
BREAKING NEWS: Gunfire and explosions heard at the warehouse in north-east Paris where a hostage is being held.,0.000,0.444,0.556,0.3047111111111111,0.0,-0.7845,0.2263,0.10626915209876543,0.033,0.732,0.235,9,non-rumours
BREAKING: Smoke coming from building where Charlie Hebdo attack suspects located: Reuters reporter,0.000,0.000,1.000,0.49345,-0.3164,-0.6705,0.49345,0.0313467025,0.132,0.453,0.415,2,non-rumours
#BREAKING - Smoke coming out in #Dammartin http://t.co/LdSF5QeCiv http://t.co/81sf1CoPI9,0.000,0.333,0.667,0.2991333333333333,0.0,-0.5574,0.34,0.05261750222222222,0.000,0.851,0.149,3,non-rumours
Latest from printworks where #CharlieHebdo suspects had taken one hostage. #ParisAttacks http://t.co/64ZQoajDw9 http://t.co/LBwxBZMXmM,0.278,0.278,0.444,0.33862777777777775,0.6239,-0.8481,0.38075000000000003,0.07443919089506174,0.176,0.565,0.259,18,non-rumours
#BREAKING Explosions at site where Charlie Hebdo suspects holed up: AFP,0.000,0.000,1.000,0.34,-0.34,-0.34,0.34,0.0,0.000,0.821,0.179,1,non-rumours
Gunshots and explosions heard in #Dammartin http://t.co/LdSF5QeCiv http://t.co/VoqNdOeYfm,0.250,0.750,0.000,0.1101,0.4404,0.0,0.0,0.03636603000000001,0.105,0.895,0.000,4,non-rumours
VIDEO: Gunfire and explosions heard at printworks in Dammartin-en-Goele siege http://t.co/RviRV0H3AV,0.235,0.235,0.529,0.3837882352941177,0.6249,-0.7717,0.4215,0.06685097868512113,0.121,0.610,0.269,17,non-rumours
Smoke seen coming from building where Charlie Hebdo attack suspects located. WATCH LIVE: http://t.co/bcZryCQxuV,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,2,non-rumours
"Gunshots heard, smoke seen at site of police operation in Dammartin-en-Goele, northeast of Paris - @Reuters, @SkyNews http://t.co/ZFJYh80uxy",0.333,0.333,0.333,0.32226666666666665,0.6486,-0.3182,0.3182,0.0701219288888889,0.156,0.510,0.333,3,non-rumours
Photo: Explosion at printworks factory #CharlieHebdo #ParisAttacks via @SkyNewsBreak http://t.co/918V2HK9CT http://t.co/7T19sihsjH,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
#BREAKING Police launch assault where Charlie Hebdo suspects holed up: official source,0.000,0.222,0.778,0.3748666666666666,0.0,-0.7964,0.2163,0.11675515777777777,0.053,0.719,0.228,9,non-rumours
Shooting at site where Charlie Hebdo suspects are holding a hostage north of Paris http://t.co/rR3q9UQlUn,0.333,0.476,0.190,0.2830857142857142,0.6369,-0.8591,0.2924,0.08186025360544218,0.144,0.800,0.056,21,non-rumours
Picture of explosion in Dammartin-en-Goele.t all happened suddenly. http://t.co/6qFD7HaFSW,0.333,0.333,0.333,0.3081833333333333,0.8519,-0.34,0.318,0.08159220805555555,0.176,0.641,0.183,6,non-rumours
Special forces (#GIGN) storm building in #Dammartin where #CharlieHebdo suspects holed up http://t.co/LdSF5QeCiv http://t.co/9KZ9GM5yJz,1.000,0.000,0.000,0.2732,0.2732,0.2732,0.2732,0.0,0.189,0.811,0.000,1,non-rumours
Three large explosions and gunfire heard where #CharlieHebdo suspects are holed up. http://t.co/7Bxdhozq4H,0.250,0.550,0.200,0.17761500000000002,0.7639,-0.7096,0.0,0.05843408727499998,0.086,0.827,0.087,20,non-rumours
"Smoke is emerging from building at site of hostage situation. Gunshots, loud blasts heard. http://t.co/IZoucAQgFi #CharlieHebdo",0.500,0.500,0.000,0.0386,0.0772,0.0,0.0386,0.0014899600000000002,0.032,0.968,0.000,2,non-rumours
Gunfire and smoke reported at Charlie Hebdo suspect hostage scene http://t.co/rBMh3jpZWx http://t.co/71SjFMZBqh,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
The 'freedom of speech' western hypocrisy.. #France #JeSuisCharlie http://t.co/pk9oWF19kg,0.333,0.167,0.500,0.4505791666666667,0.825,-0.93,0.46605,0.0881205883159722,0.144,0.623,0.234,24,non-rumours
Smoke rises from site where Charlie Hebdo suspects holed up http://t.co/3JnzARhAck,0.100,0.300,0.600,0.3166399999999999,0.9124,-0.5849,0.34,0.08518023239999999,0.067,0.774,0.159,10,non-rumours
BREAKING: Gunshots heard at printing plant northeast of Paris where 2 brothers have taken a hostage.,0.250,0.417,0.333,0.3538333333333334,0.8668,-0.9196,0.3275,0.1163778872222222,0.097,0.765,0.138,12,non-rumours
FRENCH POLICE START RAID ON CHARLIE HEBDO SUSPECTS' HIDEOUT.,0.286,0.429,0.286,0.4434142857142857,0.7339,-0.9034,0.5859,0.15676263836734697,0.166,0.634,0.200,7,non-rumours
LIVE REPORT - Assault in #Dammartin http://t.co/j0qZQGopsx #CharlieHebdo http://t.co/czsIwEto2d,0.667,0.333,0.000,0.35883333333333334,0.6597,0.0,0.4168,0.07421408222222221,0.232,0.716,0.052,3,non-rumours
OFFICIAL: Police launch assault where #CharlieHebdo suspects holed up (AFP): http://t.co/yvvkRFLiMl http://t.co/2xVhMWliRS,1.000,0.000,0.000,0.8374,0.8374,0.8374,0.8374,0.0,0.665,0.335,0.000,1,non-rumours
Our vantage point on the gunfire and explosions in Dammartin http://t.co/27X1BRVn8Y,0.111,0.556,0.333,0.22855555555555554,0.474,-0.8271,0.0,0.08103993580246914,0.037,0.798,0.165,18,non-rumours
"Gunfire, explosions heard at print plant north of Paris where the 2 #CharlieHebdo suspects are holed up with hostage. http://t.co/pzmqjErpgQ",0.300,0.200,0.500,0.45741499999999996,0.6513,-0.8442,0.46275,0.07689490327499998,0.145,0.647,0.208,20,non-rumours
Smoke rising over first #Paris hostage scene. Watch live on CNN. http://t.co/HAhU3MDTUj,0.188,0.312,0.500,0.3680750000000001,0.6369,-0.9527,0.3506,0.099392546875,0.062,0.731,0.207,16,non-rumours
#Anonymous says it will avenge Charlie Hebdo attacks by shutting down jihadist websites http://t.co/7UqbG6esN1 http://t.co/QlI7idFGVR,0.444,0.333,0.222,0.3089222222222222,0.7845,-0.5859,0.3612,0.0792546461728395,0.289,0.638,0.073,9,non-rumours
French police launch assault at site north of Paris where two suspected Charlie Hebdo killers are holding a hostage http://t.co/WBAbocdrBQ,0.077,0.538,0.385,0.2533384615384615,0.1027,-0.8832,0.0,0.1124112885207101,0.020,0.856,0.125,13,non-rumours
Smoke seen from building where Charlie Hebdo attack suspects are located. LIVE video: http://t.co/kaVQ74BAQw http://t.co/ZCWaUZUIc8,0.000,0.000,1.000,0.6007,-0.6007,-0.6007,0.6007,0.0,0.212,0.292,0.497,1,non-rumours
"BREAKING: Explosions, smoke at industrial area where #CharlieHebdo suspects are holed up: http://t.co/qB4b5cKvPg http://t.co/S9gdsRNKwG",0.111,0.333,0.556,0.3376111111111111,0.1027,-0.7269,0.3612,0.0869983787654321,0.018,0.744,0.239,9,non-rumours
BREAKING: Four explosions heard at site of hostage-taking in eastern Paris: Reuters reporter  http://t.co/91WTMcaRDz,0.667,0.333,0.000,0.26353333333333334,0.4466,0.0258,0.3182,0.03100632888888889,0.451,0.549,0.000,3,non-rumours
"JUST IN: Series of explosions, rapid gunfire in eastern Paris near site of second hostage standoff WATCH LIVE: http://t.co/lejX2ubdV6",0.000,0.000,1.000,0.6229,-0.6229,-0.6229,0.6229,0.0,0.000,0.495,0.505,1,non-rumours
BREAKING: Gunfire and new explosions heard at the site of hostage-taking in eastern Paris: Reuters reporter http://t.co/3B69JzccUW,0.500,0.250,0.250,0.31255,0.4019,-0.4767,0.38675,0.0340257625,0.143,0.816,0.041,4,non-rumours
Gunfire and explosions heard at second #Paris hostage site. Live reporting from @jimsciutto on CNN http://t.co/HAhU3MDTUj,0.350,0.350,0.300,0.34625500000000003,0.7263,-0.68,0.4404,0.072466182475,0.174,0.725,0.101,20,non-rumours
Paris terror attacks: gunfire and explosions at Dammartin-en-Goele – live updates http://t.co/MUE0zN8HCA http://t.co/tvK4fmbfyk,0.000,0.400,0.600,0.38334,0.0,-0.8555,0.3182,0.1300865424,0.044,0.708,0.249,5,non-rumours
Our ally Saudi Arabia is such an advocate of free speech that it flogged a liberal blogger with the lash for blasphemy today #JeSuisCharlie,0.375,0.250,0.375,0.38955,0.6808,-0.8735,0.2964,0.099051795,0.130,0.764,0.106,8,non-rumours
Media obsesses over free speech for #CharlieHebdo while ignoring Israeli targeting journalists http://t.co/PZW2NK1CQa http://t.co/PG07YAJUSB,0.171,0.268,0.561,0.3826634146341464,0.8516,-0.9207,0.34,0.1027527306127305,0.081,0.736,0.183,41,non-rumours
THE TERRORIST ATTACK IN PARIS IS SO SCARY I'M CRYING,0.381,0.167,0.452,0.4937857142857142,0.854,-0.8555,0.5574,0.07753167646258503,0.224,0.556,0.220,42,non-rumours
Explosions and gunfire heard at scene of hostage-taking at kosher supermarket in eastern Paris http://t.co/sBYFi4Ck2u,0.667,0.000,0.333,0.6774333333333332,0.8074,-0.7845,0.7845,0.028179802222222217,0.251,0.633,0.116,3,non-rumours
BREAKING: Explosions heard at store in east Paris where hostages are being held: http://t.co/qB4b5cKvPg http://t.co/Q5MLayjzl3,0.250,0.406,0.344,0.28365625,0.6124,-0.9688,0.2732,0.07911838121093749,0.087,0.816,0.097,32,non-rumours
Six explosions heard at kosher supermarket where a number of hostages were taken #ParisAttacks http://t.co/0jxoozr8mN http://t.co/BFuLAaMba6,0.294,0.265,0.441,0.3356529411764706,0.6808,-0.8406,0.33755,0.07903187131487888,0.108,0.732,0.160,34,non-rumours
"BREAKING: Explosions, gunshots heard at the Paris kosher market where gunman has at least 5 hostages.",0.182,0.455,0.364,0.3360454545454545,0.6908,-0.8625,0.3802,0.10854649520661157,0.127,0.696,0.177,11,non-rumours
Live video from standoff north of Paris with brothers suspected in the Charlie Hebdo attack http://t.co/mPaB3pGQdA http://t.co/1MU2eqChai,0.000,0.333,0.667,0.5103333333333334,0.0,-0.8934,0.69205,0.13691963222222223,0.014,0.684,0.302,6,non-rumours
'Explosions' heard at site of hostage situation at grocery in Paris neighborhood of Vincennes - @FRANCE24 broadcast http://t.co/ZFJYh80uxy,0.500,0.500,0.000,0.23765,0.4753,0.0,0.23765,0.0564775225,0.254,0.746,0.000,2,non-rumours
BREAKING: Police forces storm Paris kosher grocery where gunman holds 5 hostages; woman seen leaving.,0.000,0.615,0.385,0.22766153846153847,0.0,-0.8519,0.0,0.09150122082840237,0.010,0.788,0.202,13,non-rumours
Thougts and prayers go out to everyone involved in the Paris terrorist situation - Hope everyone comes out save! 🙏,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
Paris terror attacks: six explosions heard at kosher supermarket in Paris – live updates http://t.co/mtPv1mMS0D,0.000,0.000,1.000,0.7234,-0.7234,-0.7234,0.7234,0.0,0.182,0.483,0.335,1,non-rumours
VIDEO: Flashes seen in shop as explosions are heard at site of hostage-taking in central Paris http://t.co/zi2ajm8OLz,0.438,0.188,0.375,0.3794875,0.4404,-0.7351,0.4019,0.06467940484375,0.270,0.578,0.152,16,non-rumours
"We can never defeat terrorism if we have allies like Saudi Arabia who behead religious, political or sexual dissenters #JeSuisCharlie",0.321,0.250,0.429,0.3471571428571429,0.6369,-0.7351,0.40164999999999995,0.06917107244897958,0.115,0.767,0.117,28,non-rumours
I really don't understand why people in Europe think I'm a 'moron.' http://t.co/NGAuK5XkGZ http://t.co/H8ovSocjcu,0.167,0.278,0.556,0.33253888888888894,0.5983,-0.6597,0.38385,0.053227554598765436,0.074,0.742,0.184,18,non-rumours
UPDATE: Police storm kosher grocery store in eastern Paris as reports of #CharlieHebdo suspects killed http://t.co/QZbkbOTJNg,0.200,0.200,0.600,0.5267000000000001,0.3022,-0.9201,0.5106,0.12452742399999998,0.040,0.712,0.248,5,non-rumours
Ambulance heading towards kosher market hostage situation in #Paris after several large explosions heard + gunfire http://t.co/cX574wdCxe,0.500,0.167,0.333,0.5885333333333332,0.8074,-0.875,0.7041999999999999,0.08751145222222222,0.240,0.594,0.166,6,non-rumours
Video: Bangs heard coming from site of hostage situation in Paris neighborhood of Vincennes - @timchester on Vine http://t.co/jLgbryQaod,0.125,0.625,0.250,0.198,0.6369,-0.5859,0.0,0.0707192325,0.102,0.829,0.070,8,non-rumours
VIDEO Ambulances &amp; police race to site of hostage scene north-east of Paris as #CharlieHebdo gunmen reported killed http://t.co/1X6svwi3zz,0.562,0.062,0.375,0.5453125000000001,0.8402,-0.8366,0.5371,0.04357454359375001,0.375,0.446,0.178,16,non-rumours
"Smoke, gunshots reported at site of standoff with suspects in the attack on Charlie Hebdo  http://t.co/LDp3chB8FY http://t.co/IuAaEnrlXv",0.500,0.000,0.500,0.5045,0.3182,-0.6908,0.5045,0.03470769,0.112,0.619,0.270,2,non-rumours
The New Yorker’s Charlie Hebdo cover is wonderful: http://t.co/xjA85LhcSS http://t.co/tjUiIXzzoS,0.471,0.471,0.059,0.3398882352941176,0.8764,-0.2235,0.2235,0.12041892809688581,0.375,0.620,0.005,17,non-rumours
"BREAKING: Police official tells the Associated Press suspects in Charlie Hebdo massacre killed, hostage freed.",0.200,0.400,0.400,0.37974,0.6249,-0.6369,0.6249,0.0961541784,0.208,0.669,0.122,5,non-rumours
"#CharlieHebdo suspects killed, according to @AP. http://t.co/BDmxXKlbZG",0.000,0.500,0.500,0.2355,0.0,-0.471,0.2355,0.055460249999999996,0.035,0.874,0.090,2,non-rumours
MORE: #CharlieHebdo suspects killed http://t.co/EzZfZdtFEH,0.111,0.222,0.667,0.3769111111111111,0.4939,-0.7845,0.471,0.05638578765432099,0.033,0.707,0.260,9,non-rumours
"Kouachi brothers, suspects in #CharlieHebdo massacre, killed as police storm building outside Paris - reports http://t.co/utGjvxPhOi",0.364,0.136,0.500,0.5152318181818182,0.6736,-0.9348,0.5291,0.08089543671487603,0.206,0.551,0.242,22,non-rumours
2 brothers suspected in #CharlieHebdo attack killed by police after standoff NE of #Paris. Kosher market hostage-taking reportedly over too.,0.600,0.100,0.300,0.39642000000000005,0.6705,-0.5859,0.455,0.042620009599999994,0.366,0.453,0.181,10,non-rumours
"Dual hostage crisis ends: #CharlieHebdo suspects killed, ‘several hostages freed’ at supermkt http://t.co/LdSF5QeCiv http://t.co/Gm5z8owfhP",0.429,0.286,0.286,0.4106,0.6705,-0.8625,0.5106,0.10097926285714286,0.104,0.685,0.211,7,non-rumours
"Dual hostage crisis ends: #CharlieHebdo suspects killed, ‘several hostages freed’ at supermkt http://t.co/OYSXRQ9xuv http://t.co/WGVnhdoxed",0.600,0.000,0.400,0.6841,0.795,-0.9001,0.6486,0.021373464000000002,0.246,0.599,0.155,5,non-rumours
#CharlieHebdo. The two terrorists are dead. The hostage is alive.,0.455,0.273,0.273,0.4528636363636364,0.7184,-0.6808,0.5574,0.08099082776859504,0.240,0.602,0.159,11,non-rumours
"JUST IN: Officials report suspects in Charlie Hebdo massacre are dead, hostages freed http://t.co/2PckWLdDMv",1.000,0.000,0.000,0.61775,0.7951,0.4404,0.61775,0.031453022500000004,0.609,0.392,0.000,2,non-rumours
"BREAKING: #CharlieHebdo terror suspects killed in police raid, hostage freed, @AFP reports http://t.co/Ema5cTI48c",0.250,0.250,0.500,0.566325,0.4588,-0.9075,0.6789000000000001,0.13983966687500002,0.081,0.643,0.276,4,non-rumours
BREAKING: French media reporting two suspects of #CharlieHebdo attack are killed | More at: http://t.co/jKrAfvH9sT http://t.co/oaZH2sz6fO,0.450,0.150,0.400,0.454075,0.891,-0.8994,0.45855,0.09122957187499998,0.202,0.613,0.186,20,non-rumours
"JUST IN: Two brothers responsible for Charlie Hebdo massacre have been killed in Dammartin standoff, according to multiple reports",0.364,0.273,0.364,0.35446818181818185,0.9349,-0.8481,0.39055,0.07815678126033056,0.157,0.723,0.120,22,non-rumours
"#CharlieHebdo terrorists were on no fly list, known records. Mr. President, can we now revoke the passports of American ISIS fighters?",0.421,0.053,0.526,0.4277421052631579,0.872,-0.7845,0.4149,0.0638886234903047,0.178,0.677,0.145,19,non-rumours
"#CharlieHebdo suspects, the #KouachiBrothers, both killed, local mayor tells CNN. http://t.co/7Bxdhozq4H http://t.co/l1f32IA2yK",0.333,0.167,0.500,0.4050500000000001,0.6647,-0.946,0.41895000000000004,0.08843069249999998,0.257,0.502,0.241,18,non-rumours
"#BREAKING Reports: Cherif Kouachi, 32, and older brother Said, 34, suspected of Charlie Hebdo attack are dead: http://t.co/7tGdSv4fr8",0.333,0.167,0.500,0.473975,0.4926,-0.9571,0.4574,0.08590424020833332,0.275,0.515,0.210,12,non-rumours
When you've lost Hezbollah... http://t.co/yUZ2Cf3Xb7 http://t.co/daerTXp4hE,0.273,0.273,0.455,0.4664363636363636,0.8126,-0.8807,0.5661,0.1107370914049587,0.121,0.702,0.178,11,non-rumours
#BREAKING: Police storm hostage-taker at Paris grocer http://t.co/EoIuN5exh1 http://t.co/uBrUorAGcA,0.286,0.500,0.214,0.2880285714285714,0.802,-0.8811,0.13085,0.10218080061224488,0.181,0.730,0.088,14,non-rumours
"I see humans but no humanity.
#LiberteDExpression #JeSuisCharlie  #charliehebdo http://t.co/6jRiKDHTSr",0.667,0.333,0.000,0.5082,0.8575,0.0,0.6671,0.13517564666666668,0.260,0.740,0.000,3,non-rumours
Charlie Hebdo: Fox news anchor suggests skin colour helps identify 'typical bad guys' http://t.co/XvkeSMMXC4 http://t.co/zcQjFbUY6P,0.300,0.300,0.400,0.37207,0.8172,-0.9515,0.3559,0.09993554710000001,0.187,0.692,0.121,20,non-rumours
Pencil Eraser✏️is mightier than the sword🔪@varvel @indystar http://t.co/En0AIb4COR #CharlieHebdo http://t.co/isvQqFCY6j,0.200,0.250,0.550,0.431345,0.6739,-0.9231,0.46605,0.09879275747499999,0.129,0.717,0.154,20,non-rumours
"Reports say #CharlieHebdo suspects have been killed, hostages freed in both locations. http://t.co/EBbK7ny8Cx",0.583,0.083,0.333,0.5240250000000001,0.9638,-0.94,0.51695,0.07184718798611112,0.274,0.563,0.164,36,non-rumours
"BREAKING: Suspects in the #CharlieHebdo massacre killed by police, local mayor tells CNN: http://t.co/qB4b5cKvPg http://t.co/6sg4RCfZee",0.333,0.185,0.481,0.44401481481481475,0.7645,-0.9186,0.4019,0.08655382570644718,0.117,0.701,0.182,27,non-rumours
BREAKING: Two Charlie Hebdo attack suspects in Dammartin-en-Goele killed by security forces: govt source. http://t.co/oZmSoaIueK,0.333,0.200,0.467,0.4974666666666666,0.839,-0.9324,0.6249,0.08721148222222223,0.237,0.581,0.182,15,non-rumours
"One million copies of Charlie Hebdo, rather than the usual 60,000, will be printed next week http://t.co/dEI1ZBSJC1 http://t.co/Dhef0UV064",0.250,0.750,0.000,0.029925,0.1197,0.0,0.0,0.002686516874999999,0.041,0.924,0.035,4,non-rumours
Breaking News: Local Mayor tells @CNN #CharlieHebdo suspects #Kouachi bros are dead. http://t.co/HlhbTJmm1D http://t.co/xufmRl174D,0.421,0.316,0.263,0.4051947368421052,0.6769,-0.8591,0.4574,0.09035821102493072,0.215,0.649,0.136,19,non-rumours
Several Paris supermarket hostages seen being evacuated in photo http://t.co/ueAtB5XvkC http://t.co/UfsJLKp7fg,0.333,0.333,0.333,0.30231111111111114,0.7346,-0.5719,0.3736,0.0723459387654321,0.201,0.646,0.152,9,non-rumours
"BREAKING: Suspects in the #CharlieHebdo attack are dead, local mayor says. Watch updates live: http://t.co/UYpqI3NFaP http://t.co/JmeFCzuP8K",0.118,0.235,0.647,0.48731176470588233,0.4404,-0.9186,0.4767,0.10538321868512114,0.076,0.682,0.242,17,non-rumours
"BREAKING NEWS: Paris massacre suspects killed, hostages in two locations freed, reports say http://t.co/3pyj3Tc8fU",0.167,0.500,0.333,0.3363,0.5538,-0.7935,0.2769,0.1178868,0.142,0.734,0.124,6,non-rumours
"Suspects in Charlie Hebdo attack killed after hostage situation northeast of Paris, police sources say - @AP, @AFP http://t.co/ZFJYh80uxy",0.579,0.211,0.211,0.3914947368421053,0.8692,-0.7088,0.3412,0.07564012260387812,0.263,0.650,0.087,19,non-rumours
Charlie Hebdo: appears that Charlie Hebdo suspects have been killed – live updates http://t.co/Opa6b0FlQT,0.000,0.429,0.571,0.35604285714285716,0.0,-0.8625,0.2477,0.13000219102040816,0.034,0.795,0.171,7,non-rumours
"The Paris killers are dead. Stuff them, posed as a Charlie Hebdo cover, and put 'em on display at the Louvre.",0.278,0.333,0.389,0.3825055555555556,0.7146,-0.824,0.4404,0.09290366830246914,0.135,0.724,0.142,18,non-rumours
There is no death penalty in France. Good that those terrorist killers are killed. #CharlieHebdo,0.321,0.214,0.464,0.48507857142857136,0.9109,-0.886,0.55485,0.11423210525510205,0.160,0.679,0.161,28,non-rumours
Charlie Hebdo Suspects Are Reported Killed by Police http://t.co/S6Ik3NIjib,0.421,0.368,0.211,0.33544736842105266,0.8316,-0.8612,0.3612,0.11116307091412743,0.204,0.673,0.123,19,non-rumours
"Police in Dammartin-en-Goele ""now relaxed,"" handing out rations of French cheese to journalists. #LabelleFrance",0.308,0.462,0.231,0.24865384615384614,0.5859,-0.7896,0.1531,0.07024684556213018,0.150,0.784,0.065,13,non-rumours
